,X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61
10,-1,2.0,4.0,4.0,3.0,4.0,2.0,1.0,1.0,2.0,2.0,2.0,4.0,1.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,3.0,1.0,3.0,1.0,2.0,3.0,4.0,3.0,3.0,4.0,1.0,1.0,2.0,3.0,3.0,1.0,3.0,4.0,2.0,3.0,3.0,4.0,2.0,3.0,4.0,2.0,2.0,4.0,2.0,1.0,3.0,3.0,3.0,4.0,2.0,
11,1,3.0,4.0,2.0,2.0,1.0,2.0,3.0,3.0,4.0,3.0,1.0,4.0,1.0,1.0,2.0,4.0,4.0,3.0,3.0,1.0,2.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,3.0,3.0,1.0,1.0,3.0,2.0,2.0,3.0,1.0,4.0,3.0,1.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,2.0,3.0,2.0,3.0,4.0,2.0,2.0,3.0,4.0,2.0,2.0,4.0,4.0,
12,-1,4.0,2.0,2.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,2.0,2.0,1.0,3.0,3.0,1.0,3.0,1.0,3.0,3.0,1.0,2.0,2.0,4.0,2.0,4.0,2.0,3.0,1.0,2.0,3.0,4.0,2.0,2.0,3.0,4.0,2.0,2.0,3.0,4.0,2.0,2.0,3.0,4.0,2.0,2.0,3.0,1.0,2.0,3.0,2.0,2.0,
13,1,2.0,1.0,3.0,1.0,3.0,2.0,3.0,4.0,2.0,3.0,4.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,1.0,4.0,2.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,1.0,2.0,3.0,4.0,2.0,2.0,4.0,3.0,4.0,2.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0,2.0,4.0,3.0,3.0,4.0,3.0,3.0,2.0,2.0,4.0,2.0,3.0,4.0,3.0,3.0,
14,1,3.0,1.0,3.0,4.0,2.0,2.0,1.0,2.0,4.0,2.0,3.0,4.0,3.0,1.0,3.0,1.0,2.0,4.0,3.0,4.0,3.0,3.0,4.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,3.0,1.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,1.0,2.0,1.0,3.0,1.0,4.0,4.0,1.0,3.0,4.0,2.0,2.0,4.0,4.0,1.0,4.0,1.0,2.0,
15,-1,2.0,3.0,4.0,3.0,1.0,1.0,3.0,3.0,1.0,3.0,1.0,2.0,2.0,2.0,1.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,2.0,3.0,1.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,2.0,2.0,3.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,3.0,1.0,2.0,2.0,1.0,
16,1,3.0,3.0,2.0,2.0,1.0,2.0,4.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,4.0,3.0,1.0,2.0,1.0,4.0,2.0,2.0,2.0,2.0,3.0,4.0,3.0,4.0,2.0,4.0,2.0,4.0,1.0,4.0,3.0,1.0,4.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,4.0,4.0,2.0,3.0,1.0,4.0,4.0,3.0,4.0,2.0,4.0,4.0,3.0,
17,-1,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,3.0,4.0,1.0,3.0,4.0,3.0,4.0,3.0,1.0,2.0,2.0,3.0,4.0,2.0,3.0,1.0,1.0,2.0,4.0,1.0,1.0,2.0,4.0,1.0,4.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,4.0,2.0,1.0,4.0,3.0,3.0,3.0,4.0,2.0,1.0,2.0,1.0,4.0,3.0,3.0,4.0,4.0,
18,-1,3.0,4.0,3.0,1.0,3.0,4.0,2.0,4.0,2.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,1.0,3.0,3.0,3.0,4.0,4.0,1.0,2.0,2.0,2.0,4.0,2.0,1.0,4.0,4.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,3.0,1.0,3.0,4.0,4.0,2.0,4.0,3.0,4.0,2.0,4.0,1.0,1.0,4.0,
19,1,4.0,4.0,3.0,4.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,2.0,4.0,1.0,3.0,3.0,1.0,2.0,3.0,1.0,4.0,2.0,2.0,1.0,4.0,2.0,3.0,1.0,2.0,3.0,1.0,4.0,3.0,4.0,2.0,3.0,4.0,4.0,3.0,3.0,2.0,2.0,4.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,1.0,2.0,2.0,1.0,1.0,3.0,3.0,4.0,
20,-1,3.0,4.0,3.0,1.0,3.0,4.0,2.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,2.0,3.0,1.0,2.0,2.0,4.0,2.0,4.0,3.0,4.0,3.0,3.0,4.0,2.0,3.0,1.0,3.0,3.0,4.0,2.0,3.0,2.0,3.0,4.0,2.0,2.0,4.0,4.0,3.0,3.0,4.0,2.0,3.0,1.0,
21,1,4.0,2.0,3.0,3.0,4.0,1.0,2.0,4.0,1.0,3.0,1.0,2.0,3.0,3.0,4.0,2.0,4.0,4.0,1.0,3.0,4.0,1.0,4.0,2.0,3.0,1.0,2.0,3.0,4.0,1.0,1.0,4.0,3.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,4.0,1.0,1.0,4.0,3.0,3.0,4.0,4.0,2.0,4.0,1.0,1.0,1.0,3.0,3.0,1.0,2.0,4.0,1.0,1.0,
22,-1,4.0,3.0,3.0,1.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,4.0,2.0,1.0,2.0,3.0,3.0,3.0,4.0,2.0,2.0,4.0,3.0,4.0,3.0,3.0,2.0,3.0,1.0,2.0,1.0,2.0,3.0,3.0,4.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,1.0,2.0,1.0,3.0,1.0,3.0,3.0,3.0,2.0,3.0,4.0,1.0,3.0,
23,-1,4.0,4.0,4.0,3.0,3.0,1.0,4.0,4.0,4.0,1.0,1.0,4.0,3.0,3.0,1.0,4.0,4.0,3.0,2.0,1.0,4.0,3.0,4.0,3.0,1.0,3.0,3.0,1.0,1.0,2.0,2.0,4.0,2.0,1.0,2.0,4.0,3.0,1.0,2.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,4.0,1.0,4.0,1.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,3.0,4.0,
24,1,4.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,1.0,1.0,1.0,2.0,1.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,4.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,4.0,2.0,4.0,3.0,4.0,1.0,4.0,2.0,1.0,4.0,4.0,2.0,1.0,1.0,1.0,2.0,3.0,4.0,4.0,1.0,1.0,
25,1,1.0,2.0,4.0,3.0,1.0,3.0,4.0,2.0,2.0,2.0,4.0,3.0,4.0,3.0,4.0,2.0,3.0,3.0,3.0,1.0,2.0,2.0,2.0,4.0,3.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,1.0,2.0,1.0,3.0,3.0,1.0,3.0,1.0,2.0,2.0,3.0,1.0,3.0,3.0,1.0,2.0,2.0,3.0,3.0,4.0,3.0,3.0,4.0,2.0,2.0,
26,-1,4.0,3.0,4.0,2.0,1.0,2.0,2.0,1.0,4.0,2.0,4.0,2.0,1.0,1.0,1.0,3.0,4.0,4.0,1.0,1.0,1.0,4.0,4.0,4.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,4.0,1.0,1.0,4.0,4.0,4.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,4.0,2.0,4.0,1.0,1.0,4.0,1.0,3.0,4.0,3.0,1.0,2.0,4.0,
27,-1,1.0,1.0,2.0,3.0,4.0,2.0,3.0,1.0,3.0,2.0,4.0,2.0,2.0,1.0,4.0,3.0,3.0,4.0,2.0,1.0,2.0,1.0,1.0,3.0,4.0,4.0,3.0,1.0,2.0,2.0,2.0,4.0,2.0,1.0,2.0,4.0,3.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,4.0,2.0,3.0,4.0,4.0,3.0,1.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,
28,1,1.0,1.0,1.0,4.0,1.0,4.0,1.0,1.0,1.0,4.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,4.0,2.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,2.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,1.0,4.0,4.0,4.0,4.0,2.0,4.0,1.0,1.0,1.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,1.0,2.0,2.0,4.0,4.0,
29,-1,4.0,2.0,3.0,1.0,2.0,3.0,2.0,1.0,3.0,3.0,4.0,3.0,3.0,4.0,2.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,2.0,2.0,3.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,3.0,1.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,1.0,2.0,1.0,4.0,2.0,3.0,2.0,2.0,3.0,3.0,
30,1,4.0,1.0,1.0,2.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,2.0,3.0,3.0,4.0,2.0,3.0,2.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,1.0,1.0,3.0,4.0,4.0,4.0,2.0,1.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,1.0,3.0,4.0,
31,-1,4.0,4.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,1.0,3.0,4.0,2.0,3.0,4.0,4.0,2.0,2.0,3.0,4.0,4.0,2.0,3.0,4.0,3.0,4.0,2.0,3.0,1.0,2.0,1.0,3.0,4.0,2.0,4.0,2.0,2.0,2.0,3.0,4.0,2.0,3.0,2.0,1.0,3.0,3.0,4.0,3.0,4.0,2.0,4.0,4.0,3.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,
32,1,2.0,3.0,1.0,1.0,3.0,4.0,3.0,1.0,4.0,2.0,1.0,1.0,3.0,4.0,4.0,2.0,2.0,3.0,3.0,1.0,4.0,4.0,3.0,4.0,4.0,4.0,2.0,2.0,2.0,4.0,1.0,4.0,2.0,2.0,2.0,1.0,3.0,1.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,2.0,1.0,4.0,3.0,3.0,4.0,1.0,1.0,4.0,2.0,3.0,1.0,2.0,4.0,2.0,
33,-1,4.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,2.0,1.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,2.0,2.0,1.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,4.0,2.0,1.0,4.0,2.0,4.0,4.0,2.0,4.0,2.0,1.0,3.0,1.0,2.0,4.0,1.0,2.0,
34,1,2.0,1.0,1.0,4.0,3.0,3.0,3.0,1.0,2.0,3.0,1.0,2.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,2.0,3.0,2.0,1.0,2.0,2.0,1.0,3.0,1.0,3.0,1.0,2.0,1.0,4.0,4.0,1.0,4.0,3.0,3.0,4.0,4.0,1.0,4.0,4.0,4.0,2.0,2.0,2.0,4.0,1.0,3.0,3.0,1.0,
35,1,2.0,2.0,3.0,2.0,1.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,2.0,2.0,4.0,1.0,4.0,3.0,3.0,4.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,1.0,3.0,4.0,2.0,1.0,2.0,1.0,4.0,2.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,1.0,4.0,3.0,4.0,2.0,3.0,1.0,3.0,1.0,2.0,1.0,4.0,3.0,1.0,
36,-1,2.0,4.0,2.0,2.0,3.0,1.0,3.0,3.0,2.0,1.0,3.0,4.0,2.0,1.0,3.0,1.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,1.0,4.0,1.0,2.0,1.0,2.0,4.0,3.0,1.0,4.0,2.0,3.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,4.0,2.0,3.0,1.0,3.0,4.0,2.0,1.0,2.0,2.0,2.0,3.0,4.0,
37,1,1.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,2.0,1.0,3.0,4.0,3.0,3.0,1.0,2.0,4.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,2.0,1.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,1.0,3.0,1.0,3.0,1.0,4.0,1.0,1.0,4.0,
38,-1,4.0,3.0,4.0,3.0,3.0,4.0,3.0,1.0,2.0,4.0,1.0,1.0,4.0,3.0,4.0,1.0,2.0,2.0,1.0,4.0,4.0,3.0,1.0,1.0,4.0,2.0,1.0,3.0,1.0,2.0,2.0,4.0,1.0,4.0,2.0,1.0,4.0,4.0,3.0,3.0,1.0,2.0,4.0,4.0,4.0,1.0,4.0,4.0,1.0,4.0,3.0,3.0,1.0,4.0,3.0,1.0,1.0,1.0,2.0,2.0,
39,1,1.0,4.0,3.0,1.0,1.0,2.0,1.0,4.0,3.0,4.0,2.0,2.0,4.0,4.0,3.0,3.0,1.0,2.0,1.0,1.0,3.0,3.0,2.0,2.0,1.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,2.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,3.0,1.0,4.0,1.0,1.0,2.0,3.0,4.0,2.0,3.0,3.0,3.0,1.0,1.0,3.0,
40,1,2.0,2.0,1.0,3.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,2.0,3.0,3.0,2.0,4.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,4.0,2.0,2.0,1.0,2.0,2.0,2.0,4.0,2.0,4.0,3.0,3.0,1.0,2.0,2.0,1.0,4.0,2.0,1.0,2.0,3.0,4.0,2.0,2.0,1.0,3.0,1.0,3.0,3.0,3.0,4.0,
41,1,4.0,2.0,1.0,3.0,4.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,3.0,4.0,3.0,4.0,2.0,1.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,3.0,4.0,2.0,3.0,1.0,2.0,3.0,1.0,4.0,3.0,2.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,2.0,3.0,4.0,2.0,1.0,3.0,3.0,1.0,2.0,3.0,4.0,2.0,
42,-1,1.0,1.0,2.0,3.0,1.0,3.0,3.0,3.0,3.0,4.0,1.0,3.0,4.0,1.0,3.0,1.0,1.0,3.0,4.0,3.0,3.0,1.0,4.0,4.0,1.0,2.0,3.0,1.0,1.0,2.0,2.0,4.0,2.0,2.0,2.0,3.0,4.0,2.0,3.0,3.0,4.0,4.0,4.0,2.0,3.0,4.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,3.0,4.0,2.0,2.0,
43,1,3.0,4.0,4.0,3.0,1.0,4.0,4.0,4.0,1.0,1.0,3.0,4.0,3.0,1.0,1.0,3.0,4.0,1.0,4.0,1.0,2.0,1.0,1.0,4.0,4.0,1.0,4.0,4.0,1.0,2.0,2.0,3.0,4.0,2.0,2.0,4.0,2.0,3.0,2.0,3.0,1.0,1.0,2.0,4.0,2.0,1.0,3.0,4.0,2.0,3.0,1.0,2.0,4.0,4.0,4.0,4.0,4.0,1.0,3.0,3.0,
44,-1,2.0,3.0,4.0,3.0,2.0,1.0,3.0,2.0,1.0,3.0,3.0,4.0,2.0,3.0,1.0,2.0,3.0,2.0,2.0,3.0,4.0,3.0,1.0,1.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,4.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,1.0,3.0,3.0,3.0,3.0,1.0,2.0,1.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,
45,-1,4.0,1.0,3.0,1.0,1.0,3.0,3.0,4.0,1.0,2.0,3.0,1.0,2.0,1.0,3.0,2.0,2.0,1.0,1.0,3.0,4.0,2.0,1.0,1.0,3.0,4.0,3.0,1.0,2.0,2.0,2.0,4.0,1.0,1.0,2.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,2.0,1.0,2.0,3.0,1.0,1.0,4.0,2.0,3.0,1.0,
46,1,1.0,4.0,1.0,2.0,1.0,4.0,2.0,4.0,2.0,2.0,1.0,1.0,2.0,4.0,4.0,1.0,1.0,4.0,1.0,2.0,3.0,4.0,4.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,1.0,1.0,3.0,3.0,4.0,4.0,2.0,4.0,4.0,1.0,2.0,4.0,1.0,1.0,2.0,1.0,1.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,
47,1,1.0,1.0,1.0,3.0,4.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,2.0,1.0,2.0,1.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,2.0,2.0,3.0,3.0,1.0,4.0,2.0,2.0,1.0,3.0,3.0,2.0,3.0,4.0,4.0,3.0,3.0,3.0,1.0,4.0,1.0,3.0,3.0,4.0,2.0,2.0,3.0,4.0,3.0,4.0,2.0,4.0,3.0,3.0,1.0,1.0,2.0,
48,-1,3.0,1.0,1.0,1.0,4.0,4.0,2.0,4.0,2.0,2.0,1.0,3.0,2.0,4.0,2.0,1.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,1.0,2.0,2.0,2.0,4.0,2.0,1.0,2.0,2.0,1.0,3.0,3.0,4.0,2.0,2.0,1.0,2.0,3.0,3.0,4.0,1.0,2.0,1.0,3.0,1.0,3.0,3.0,3.0,3.0,4.0,2.0,2.0,2.0,
49,-1,1.0,3.0,4.0,1.0,3.0,4.0,1.0,3.0,1.0,1.0,1.0,3.0,4.0,2.0,3.0,2.0,3.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,4.0,2.0,2.0,4.0,1.0,1.0,2.0,1.0,4.0,2.0,4.0,2.0,2.0,1.0,3.0,1.0,1.0,3.0,4.0,2.0,4.0,3.0,4.0,3.0,3.0,1.0,4.0,2.0,3.0,3.0,3.0,4.0,
50,1,2.0,4.0,3.0,3.0,1.0,3.0,4.0,2.0,4.0,2.0,1.0,3.0,3.0,3.0,3.0,4.0,2.0,4.0,4.0,3.0,3.0,3.0,1.0,4.0,2.0,3.0,4.0,2.0,1.0,3.0,3.0,4.0,2.0,4.0,2.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,1.0,2.0,4.0,3.0,1.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,2.0,4.0,
51,1,2.0,3.0,4.0,2.0,1.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,4.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,4.0,4.0,1.0,3.0,2.0,1.0,4.0,3.0,1.0,4.0,4.0,2.0,3.0,4.0,2.0,4.0,3.0,4.0,3.0,3.0,1.0,1.0,3.0,3.0,4.0,4.0,3.0,1.0,3.0,3.0,1.0,2.0,4.0,2.0,2.0,1.0,
52,1,1.0,2.0,4.0,4.0,4.0,2.0,3.0,1.0,3.0,3.0,4.0,2.0,4.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,4.0,3.0,3.0,1.0,3.0,4.0,3.0,1.0,2.0,3.0,4.0,2.0,4.0,3.0,3.0,4.0,2.0,3.0,1.0,2.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,4.0,3.0,3.0,1.0,3.0,3.0,3.0,4.0,3.0,3.0,1.0,3.0,
53,-1,2.0,2.0,1.0,2.0,1.0,4.0,2.0,1.0,4.0,3.0,4.0,3.0,4.0,3.0,1.0,1.0,3.0,4.0,4.0,4.0,1.0,1.0,3.0,4.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,4.0,1.0,4.0,2.0,4.0,1.0,4.0,3.0,4.0,4.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,
54,1,3.0,3.0,4.0,1.0,4.0,2.0,4.0,1.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,1.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,2.0,1.0,1.0,2.0,3.0,4.0,4.0,3.0,4.0,2.0,3.0,1.0,2.0,1.0,1.0,4.0,4.0,3.0,3.0,3.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,2.0,3.0,4.0,4.0,
